Student#,Birth Place,I started Hunter as,How I travel to school, L/R handed,I would rather go to school than work,A High School should have a dress code,My favorite season is,I use a seat belt,I am registered to vote,My favorite sport to watch,My favorite sport to participate in,I play a musical instrument,I have a pet,My resting pulse is,I read this many books per year,Siblings,BirthOrder,I have earned this many credits,I study this many hours per week,I watch this many movies per year,I want to major in,My favorite color is,My favorite fruit is,At home I speak,My favorite subject is,My least favorite subject is,I watch this many hours of TV,Where I started school in,Buy text?,Read text?,Learn from reading the text?,Learn from reading my notes?,Learn from working problems?,Learn from rewriting my notes?,Learn from working with a tutor?,Learn from working with another student?,I took Statistics because ,I am Math-Anxious,I am good in math,Height,Weight,VerbalSAT,MathSAT,SAT,GPA
84,Ukraine,freshman,ride the subway,Right,TRUE,FALSE,SPRING,FALSE,FALSE,figure skating,figure skating,TRUE,FALSE,78,2,2,3,32.5,18,10,psychology,black,strawberry,Russian,psychology,art,15,Ukraine,usually,never,yes,yes,yes,no,no,yes,chose to take,TRUE,TRUE,69,140,800,680,1480,3.62
138,India,freshman,ride the subway,Right,TRUE,FALSE,WINTER,TRUE,FALSE,basketball,basketball,TRUE,TRUE,unknown,5,3,1,10.5,8,10,undecided,blue,mango,English,math,history,21,USA,usually,never,yes,yes,yes,no,yes,yes,it's required,FALSE,TRUE,72,215,630,590,1220,3.4
157,USA,sophomore,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,basketball,TRUE,FALSE,unknown,12,1,2,13.5,Unknown,20,film,purple,pear,English,film,science,8,USA,always,always,no,no,yes,no,no,no,chose to take,TRUE,TRUE,73,180,600,670,1270,3.56
233,Ukraine,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,FALSE,figure skating,badminton,FALSE,FALSE,70,14,1,2,15,18,10,nursing,white,watermelon,Russian,Psychology,Economics,7,Ukraine,always,always,yes,yes,yes,no,no,yes,chose to take,TRUE,TRUE,71,200,630,710,1340,2.75
166,USA,freshman,ride the subway,Right,TRUE,FALSE,SPRING,TRUE,FALSE,baseball,dance,TRUE,TRUE,unknown,0,3,2,12,15,unknown,physical therapy,brown,strawberry,English,biology,history,10,USA,always,sometimes,no,yes,yes,yes,no,yes,chose to take,TRUE,TRUE,67,145,540,640,1180,3.5
131,USA,sophomore,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,TRUE,track ,track,TRUE,TRUE,60,0,2,2,23.5,24,0,education,blue,grape,English,global studies,psychology,0,USA,always,sometimes,yes,yes,yes,no,no,no,it's required,FALSE,TRUE,72,170,640,640,1280,2.9
257,Japan,sophomore,ride the subway,Right,FALSE,FALSE,SPRING,TRUE,FALSE,none,swimming,TRUE,FALSE,60,12,2,1,58,25,1,psychology,white,orange,English,psychology,math,10,Japan,always,sometimes,yes,yes,yes,no,yes,no,it's required,TRUE,FALSE,74,180,680,740,1420,3
114,USA,junior,ride the subway,Right,TRUE,TRUE,FALL,TRUE,TRUE,figure skating,track,FALSE,FALSE,unknown,0,2,1,62,10,1,speech therapy,brown,banana,English,anthropology,math,1,USA,always,sometimes,yes,yes,yes,yes,yes,yes,it's required,TRUE,FALSE,63,99,600,600,1200,3
140,USA,freshman,ride the subway,Right,TRUE,TRUE,SUMMER,FALSE,TRUE,basketball,double dutch,TRUE,FALSE,unknown,1,0,1,12,6,1,nursing,blue,mango,English,social study,math,3,USA,always,always,yes,yes,yes,yes,yes,no,it's required,TRUE,FALSE,70,145,550,500,1050,3
112,USA,junior,ride the subway,Left,FALSE,FALSE,SUMMER,TRUE,TRUE,soccer,mountain hiking,FALSE,FALSE,60,4,2,3,168,12,1,physical education.,blue,banana,English,physics,math,4,USA,always,sometimes,no,no,yes,no,no,no,it's required,TRUE,FALSE,68,135,650,650,1300,3.08
228,Vietnam,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,FALSE,FALSE,none,"football, handball",FALSE,TRUE,70,1,1,1,19,4,1,physical therapy,blue,watermelon,English,science ,English,4,USA,always,sometimes,yes,no,yes,no,no,yes,it's required,FALSE,TRUE,64,135,620,640,1260,3.6
185,Germany,freshman,walk,Right,TRUE,TRUE,SUMMER,TRUE,TRUE,basketball,basketball,FALSE,FALSE,unknown,0,1,1,Unknown,3,1,psychology,blue,watermelon,English,history,math,4,USA,always,usually,yes,yes,yes,no,yes,no,it's required,TRUE,FALSE,73,206,560,660,1220,2
50,USA,freshman,ride the bus,Right,TRUE,TRUE,WINTER,TRUE,TRUE,football,football,FALSE,FALSE,unknown,3,2,2,15,35,1,psychology,burgundy,grape,English,psychology,none,5,USA,always,usually,yes,yes,yes,yes,no,no,it's required,FALSE,FALSE,70,255,420,520,940,2.36
263,Philippines,junior,ride the subway,Right,TRUE,FALSE,SUMMER,TRUE,FALSE,basketball,volleyball,TRUE,FALSE,unknown,7,3,1,100,10,1,psychology,red,peach,Tagalog,biology,math,6,Philippines,always,always,yes,yes,yes,no,yes,yes,it's required,FALSE,FALSE,76,195,650,620,1270,2.87
168,USA,sophomore,ride the subway,Right,TRUE,FALSE,SPRING,FALSE,TRUE,boxing,bicycling,FALSE,TRUE,78,3,1,2,43,15,1,nursing,orange,strawberry,English,biology,English,9,USA,always,usually,yes,yes,yes,yes,no,no,it's required,FALSE,TRUE,66,146,690,620,1310,3.25
153,USA,freshman,ride the subway,Right,TRUE,FALSE,SPRING,FALSE,FALSE,none,none,TRUE,FALSE,unknown,2,0,1,9,9,1,sociology,blue,peach,Spanish,history,math,10,USA,always,never,yes,no,no,no,yes,yes,it's required,FALSE,FALSE,63,95,600,660,1260,3.3
52,USA,freshman,walk,Right,FALSE,TRUE,FALL,TRUE,TRUE,basketball,basketball,FALSE,FALSE,64,4,0,1,9,21,1,economics,black,kiwi,English,economics,English,14,USA,always,sometimes,yes,yes,yes,yes,yes,yes,it's required,FALSE,TRUE,72,160,620,600,1220,3
172,USA,freshman,ride the subway,Right,FALSE,FALSE,SUMMER,FALSE,TRUE,basketball,volleyball,TRUE,FALSE,unknown,0,1,1,4.5,Unknown,1,occupational therapy,black,strawberry,Greek,psychology,anatomy,14,USA,always,usually,yes,yes,yes,yes,no,no,it's required,FALSE,TRUE,66,120,560,580,1140,3.5
